Type noeud	Nom noeud	Type pere	Nom pere
_	M14_2014
_	1 - COMPTES DE CAPITAUX (FONDS PROPRES, EMPRUNTS ET DETTES ASSIMILÉES)	_	M14_2014
_	10 - DOTATIONS, FONDS DIVERS ET RESERVES	_	1 - COMPTES DE CAPITAUX (FONDS PROPRES, EMPRUNTS ET DETTES ASSIMILÉES)
_	102 - Dotations et fonds d'investissement	_	10 - DOTATIONS, FONDS DIVERS ET RESERVES
_	1021 - Dotation	_	102 - Dotations et fonds d'investissement
_	1022 - Fonds d'investissement	_	102 - Dotations et fonds d'investissement
_	10222 - F.C.T.V.A.	_	1022 - Fonds d'investissement
_	10223 - T.L.E.	_	1022 - Fonds d'investissement
_	10224 - Versements pour dépassement du plafond légal de densité (P.L.D.)	_	1022 - Fonds d'investissement
_	10225 - Participations en cas de dépassement du coefficient d'occupation du sol (C.O.S.)	_	1022 - Fonds d'investissement
_	10226 - Taxe d'aménagement	_	1022 - Fonds d'investissement
_	10227 - Versement pour sous-densité	_	1022 - Fonds d'investissement
_	10228 - Autres fonds	_	1022 - Fonds d'investissement
_	10229 - Reprise sur F.C.T.V.A. et autres fonds	_	1022 - Fonds d'investissement
_	102291 - Reprise sur F.C.T.V.A.	_	10229 - Reprise sur F.C.T.V.A. et autres fonds
_	102296 - Reprise sur taxe d'aménagement	_	10229 - Reprise sur F.C.T.V.A. et autres fonds
_	102297 - Reprise sur versement pour sous-densité	_	10229 - Reprise sur F.C.T.V.A. et autres fonds
_	102298 - Reprise sur autres fonds	_	10229 - Reprise sur F.C.T.V.A. et autres fonds
_	1025 - Dons et legs en capital	_	102 - Dotations et fonds d'investissement
_	10251 - Dons et legs en capital	_	1025 - Dons et legs en capital
_	10259 - Reprise sur dons et legs en capital	_	1025 - Dons et legs en capital
_	1027 - Mise à disposition (chez le bénéficiaire)	_	102 - Dotations et fonds d'investissement
_	106 - Réserves 	_	10 - DOTATIONS, FONDS DIVERS ET RESERVES
_	1068 - Excédents de fonctionnement capitalisés 	_	106 - Réserves 
_	1069 - Reprise 1997 sur les excédents capitalisés - Neutralisation de l'excédent des charges sur les produits	_	106 - Réserves 
_	11 - REPORT À NOUVEAU (SOLDE CRÉDITEUR OU DÉBITEUR) 	_	1 - COMPTES DE CAPITAUX (FONDS PROPRES, EMPRUNTS ET DETTES ASSIMILÉES)
_	110 - Report à nouveau (solde créditeur)	_	11 - REPORT À NOUVEAU (SOLDE CRÉDITEUR OU DÉBITEUR) 
_	119 - Report à nouveau (solde débiteur)	_	11 - REPORT À NOUVEAU (SOLDE CRÉDITEUR OU DÉBITEUR) 
_	12 - RÉSULTAT DE L'EXERCICE (EXCÉDENTAIRE OU DÉFICITAIRE)	_	1 - COMPTES DE CAPITAUX (FONDS PROPRES, EMPRUNTS ET DETTES ASSIMILÉES)
_	13 - SUBVENTIONS D'INVESTISSEMENT	_	1 - COMPTES DE CAPITAUX (FONDS PROPRES, EMPRUNTS ET DETTES ASSIMILÉES)
_	131 - Subventions d'équipement transférables	_	13 - SUBVENTIONS D'INVESTISSEMENT
_	1311 - État et établissements nationaux	_	131 - Subventions d'équipement transférables
_	1312 - Régions	_	131 - Subventions d'équipement transférables
_	1313 - Départements	_	131 - Subventions d'équipement transférables
_	1314 - Communes	_	131 - Subventions d'équipement transférables
_	13141 - Communes membres du GFP	_	1314 - Communes
_	13148 - Autres communes	_	1314 - Communes
_	1315 - Groupements de collectivités	_	131 - Subventions d'équipement transférables
_	13151 - GFP de rattachement	_	1315 - Groupements de collectivités
_	13158 - Autres groupements	_	1315 - Groupements de collectivités
_	1316 - Autres établissements publics locaux	_	131 - Subventions d'équipement transférables
_	1317 - Budget communautaire et fonds structurels	_	131 - Subventions d'équipement transférables
_	1318 - Autres	_	131 - Subventions d'équipement transférables
_	132 - Subventions d'équipement non transférables 	_	13 - SUBVENTIONS D'INVESTISSEMENT
_	1321 - État et établissements nationaux	_	132 - Subventions d'équipement non transférables 
_	1322 - Régions	_	132 - Subventions d'équipement non transférables 
_	1323 - Départements	_	132 - Subventions d'équipement non transférables 
_	1324 - Communes	_	132 - Subventions d'équipement non transférables 
_	13241 - Communes membres du GFP	_	1324 - Communes
_	13248 - Autres communes	_	1324 - Communes
_	1325 - Groupements de collectivités	_	132 - Subventions d'équipement non transférables 
_	13251 - GFP de rattachement	_	1325 - Groupements de collectivités
_	13258 - Autres groupements	_	1325 - Groupements de collectivités
_	1326 - Autres établissements publics locaux	_	132 - Subventions d'équipement non transférables 
_	1327 - Budget communautaire et fonds structurels	_	132 - Subventions d'équipement non transférables 
_	1328 - Autres	_	132 - Subventions d'équipement non transférables 
_	133 - Fonds affectés à l'équipement transférables	_	13 - SUBVENTIONS D'INVESTISSEMENT
_	1331 - Dotation d'équipement des territoires ruraux	_	133 - Fonds affectés à l'équipement transférables
_	1332 - Amendes de police	_	133 - Fonds affectés à l'équipement transférables
_	1333 - P.A.E. (Programme d'Aménagement d'Ensemble)	_	133 - Fonds affectés à l'équipement transférables
_	1334 - Surtaxes locales temporaires	_	133 - Fonds affectés à l'équipement transférables
_	1335 - Participations pour non réalisation d'aires de stationnement	_	133 - Fonds affectés à l'équipement transférables
_	1336 - Participations pour voirie et réseaux	_	133 - Fonds affectés à l'équipement transférables
_	1338 - Autres	_	133 - Fonds affectés à l'équipement transférables
_	134 - Fonds affectés à l'équipement non transférables	_	13 - SUBVENTIONS D'INVESTISSEMENT
_	1341 - Dotation d'équipement des territoires ruraux 	_	134 - Fonds affectés à l'équipement non transférables
_	1342 - Amendes de police	_	134 - Fonds affectés à l'équipement non transférables
_	1343 - P.A.E. (Programme d'Aménagement d'Ensemble)	_	134 - Fonds affectés à l'équipement non transférables
_	1344 - Surtaxes locales temporaires	_	134 - Fonds affectés à l'équipement non transférables
_	1345 - Participations pour non réalisation d'aires de stationnement	_	134 - Fonds affectés à l'équipement non transférables
_	1346 - Participations pour voirie et réseaux	_	134 - Fonds affectés à l'équipement non transférables
_	1348 - Autres	_	134 - Fonds affectés à l'équipement non transférables
_	138 - Autres subventions d'investissement non transférables	_	13 - SUBVENTIONS D'INVESTISSEMENT
_	1381 - État et établissements nationaux	_	138 - Autres subventions d'investissement non transférables
_	1382 - Régions	_	138 - Autres subventions d'investissement non transférables
_	1383 - Départements	_	138 - Autres subventions d'investissement non transférables
_	1384 - Communes	_	138 - Autres subventions d'investissement non transférables
_	1385 - Groupements de collectivités	_	138 - Autres subventions d'investissement non transférables
_	1386 - Autres établissements publics locaux	_	138 - Autres subventions d'investissement non transférables
_	1387 - Budget communautaire et fonds structurels	_	138 - Autres subventions d'investissement non transférables
_	1388 - Autres	_	138 - Autres subventions d'investissement non transférables
_	139 - Subventions d'investissement transférées au compte de résultat	_	13 - SUBVENTIONS D'INVESTISSEMENT
_	1391 - Subventions d'équipement (à subdiviser comme le compte 131)	_	139 - Subventions d'investissement transférées au compte de résultat
_	1393 - Fonds affectés à l'équipement	_	139 - Subventions d'investissement transférées au compte de résultat
_	13931 - Dotation d'équipement des territoires ruraux	_	1393 - Fonds affectés à l'équipement
_	13932 - Amendes de police	_	1393 - Fonds affectés à l'équipement
_	13933 - P.A.E. (Programme d'Aménagement d'Ensemble)	_	1393 - Fonds affectés à l'équipement
_	13934 - Surtaxes locales temporaires	_	1393 - Fonds affectés à l'équipement
_	13935 - Participations pour non réalisation d'aires de stationnement	_	1393 - Fonds affectés à l'équipement
_	13936 - Participations pour voirie et réseaux	_	1393 - Fonds affectés à l'équipement
_	13938 - Autres	_	1393 - Fonds affectés à l'équipement
_	15 - PROVISIONS POUR RISQUES ET CHARGES	_	1 - COMPTES DE CAPITAUX (FONDS PROPRES, EMPRUNTS ET DETTES ASSIMILÉES)
_	151 - Provisions pour risques	_	15 - PROVISIONS POUR RISQUES ET CHARGES
_	1511 - Provisions pour litiges	_	151 - Provisions pour risques
_	15111 - Provisions pour litiges (non budgétaires)	_	1511 - Provisions pour litiges
_	15112 - Provisions pour litiges (budgétaires)	_	1511 - Provisions pour litiges
_	1515 - Provisions pour pertes de change	_	151 - Provisions pour risques
_	15151 - Provisions pour pertes de change (non budgétaires)	_	1515 - Provisions pour pertes de change
_	15152 - Provisions pour pertes de change (budgétaires)	_	1515 - Provisions pour pertes de change
_	1517 - Provisions pour garanties d'emprunts	_	151 - Provisions pour risques
_	15171 - Provisions pour garanties d'emprunts (non budgétaires)	_	1517 - Provisions pour garanties d'emprunts
_	15172 - Provisions pour garanties d'emprunts (budgétaires)	_	1517 - Provisions pour garanties d'emprunts
_	1518 - Autres provisions pour risques	_	151 - Provisions pour risques
_	15181 - Autres provisions pour risques (non budgétaires)	_	1518 - Autres provisions pour risques
_	15182 - Autres provisions pour risques (budgétaires)	_	1518 - Autres provisions pour risques
_	152 - Provisions pour risques et charges sur emprunts	_	15 - PROVISIONS POUR RISQUES ET CHARGES
